gender,points,badges_cnt,user_grade,user_city,has_teacher_cnt,is_self_coach,has_student_cnt,belongs_to_class_cnt,has_class_cnt,total_sec_taken,is_correct
no_value,1050,0,7,ntpc,0,0,0,0,0,83.66666666666667,1
no_value,29442,11,7,ntpc,0,0,0,0,0,49.3617747440273,0
male,4620,1,7,kh,1,0,0,1,0,14.4,1
no_value,4993,2,7,ntpc,0,0,0,0,0,32.07692307692308,1
no_value,16801,2,7,tc,0,0,0,0,0,42.80952380952381,1
no_value,16645,5,8,ntpc,0,0,0,0,0,67.08888888888889,1
no_value,7780,0,8,tc,0,0,0,0,0,17.75,1
female,75,0,8,ml,1,0,0,0,0,53.66666666666666,0
female,15399,3,9,tp,0,0,0,0,0,51.60294117647059,1
no_value,35622,8,9,tp,0,0,0,0,0,35.234042553191486,1
no_value,5512,0,9,tp,0,0,0,0,0,21.5,1
female,222840,2,10,tp,0,0,0,0,0,26.00348432055749,1
no_value,120000,16,10,ntpc,0,0,0,0,0,7.643192488262911,1
no_value,25047,6,10,tp,0,0,0,0,0,18.307692307692307,1
no_value,1200,0,10,ty,0,0,0,0,0,15.416666666666666,0
no_value,3364,0,10,tp,0,0,0,0,0,17.4,1
no_value,5100,1,10,ty,0,0,0,0,0,22.125,1
male,342405,6,10,ty,0,0,0,0,0,24.512522907758093,1
no_value,2414,0,12,kh,0,0,0,0,0,121.0,0
no_value,114216,10,1,ntpc,1,0,0,1,0,32.61666666666667,1
no_value,20795,2,1,tp,0,0,0,0,0,29.32926829268293,1
unspecified,87124,8,1,ntpc,1,0,0,1,0,45.8688524590164,1
no_value,18650,2,1,tc,0,0,0,0,0,28.9,1
no_value,18037,1,1,tc,0,0,0,0,0,48.06153846153846,1
female,180713,31,2,ilc,0,0,0,0,0,27.572874493927124,1
no_value,62990,7,3,tp,1,0,0,1,0,53.31428571428572,1
male,16005,2,3,ty,0,0,0,0,0,175.23076923076923,1
male,39455,11,3,cy,1,0,0,0,0,17.90990990990991,1
unspecified,2100,0,3,tp,1,0,0,1,0,349.4,1
no_value,66823,3,3,ty,1,0,0,0,0,14.51086956521739,1
no_value,3225,0,3,ty,1,0,0,1,0,37.0,1
female,493411,31,3,ty,0,0,0,0,1,26.2863266180883,1
no_value,64099,3,3,ntct,1,0,0,0,0,53.41988950276243,1
male,88495,17,3,tc,2,0,0,3,0,53.46363636363636,1
female,98565,15,3,tc,1,0,0,2,0,76.61734693877551,1
female,17294,2,3,kh,1,0,0,1,0,64.05882352941177,1
no_value,96685,5,4,cy,1,0,0,1,0,53.843813387423936,1
female,63440,2,4,kh,1,0,0,1,0,38.0921052631579,1
no_value,4275,0,4,ty,0,0,2,0,2,26.625,1
no_value,101003,8,4,cy,1,0,0,1,0,49.532751091703055,1
no_value,3675,1,4,tc,0,0,0,0,0,28.09375,1
unspecified,79542,9,4,ty,0,0,0,0,0,22.497512437810947,1
male,5325,0,4,cy,1,0,0,1,0,157.94117647058823,1
no_value,268833,13,4,ty,1,0,0,1,0,21.868357487922705,1
no_value,9210,0,4,tc,1,0,0,1,0,33.523809523809526,1
